plaintext,ciphertext,key,algorithm
"At midnight, a zealous spy quietly followed Jack across busy streets.",e9829b135d4dc030a931db80e76ca7c6ad808b3c602b966eaed09abc4b81f2f781ff73a6a77bc9d402c16908098300692cd9b34879cc2946d4773f3cb87df790e864e4ed1e,bf53b3925a6a0328b3220f594f726c96a9cf807f4a3d4d16f53b0d68f9fa86a0,ChaCha20
"At midnight, a zealous spy quietly followed Jack across busy streets.",9bea8cf13ce001bf966fca970fe207c7c027b528828dcb0a35346c6a1f0b497c6f2cd861f7537a763bf8f6c8b51675f84261120ad692804fb01faea69a0b99acdc5402150b,85511e5bb36edde4fb25e5e4d0a42974f95b5c678f7a506851683d22a3e403db,Salsa20
"The treasure map was found hidden inside a quiet, buzzing old vault.",d3811d45c7a6717090b3b2ef06246cb487e03551720245032a8da720c34800c68e70bec7b42f5ed4dc3336b75174b2fd4349c853e46fa727dfb1ee2147b70d5e2242c3ad,bad54093a1a8d9d15e4ec757bdbdf50333fa5baf7942b22ca58381c1e183e46d,ChaCha20
"The treasure map was found hidden inside a quiet, buzzing old vault.",14030191c4bceadfe0b6cb07f3053c1311e7b0b5a951efc227c2b292cd78098791318cfec92ea19060fc7c3076df1ee469a304fa7770b888fceb37027ed4d4b920f1b8c1,56529be97321efc39f24819b8f97c612b4bfd733a5d5e9a9def076b5c1a55d18,Salsa20
"Quickly, Zoe examined the mysterious jar before it cracked open.",d43d34a16559c6b432d87bf6d57ca043e08f460fbf1e18d65ec81c96201aa7c897a6641d2f657066379be04985de1bc82430737f2f2833c8c5d205b90c9d16bb,2ac93915684491a2b23bfccc2e064b35b6e28f608f322310e756bd1885cf865c,ChaCha20
"Quickly, Zoe examined the mysterious jar before it cracked open.",389d3ab38befbf5e6577f6e8f9c561d8e8ae6e9d32164746ff8fae85a4a39184cb6924c54c1ad9b9a74bb0e8fea2c9a563476082320665ba075c34f936aedbcf,979e2283863e090cb74504ae4292b765a5543167a157747cd41b4baeba1e04cf,Salsa20
Jumpy foxes guard a secret entrance to the hidden vault in the zoo.,8b9b03b350a3e4747792f84f5d93384a971c2a0dbb308fb5b889b018604b9964f5d3c91ccd9c3d77d36286f327d3667978373310cee5a135930167144575c5c47ddadf,3971492c643058e5dc3784c0557d160a831cd7c60f13ed00054f207ac26f0a94,ChaCha20
Jumpy foxes guard a secret entrance to the hidden vault in the zoo.,7880ea05c97c8dfe1325deff460f91ad3ff01e08b60e48194eb09aed33a3ef8cbead8ab3dad9afd4f0f7cb5f92c59b504b776c5407bac56f5b4d86490667abc0d70f52,0008b5786d47588ba2446bb046e17b9179affd7cd779ff831741c82f7e9e192f,Salsa20
A hazy figure was seen exiting the quiet room with a zebra-striped box.,11b1f02c43b441d97105937a65cc10bf282b4608e5c3e862ed2445200bacbdcb1b64de901c72110e6e6d0f2f7c9c105edc44154dae3ecad33218589c2c4bae87d1efc6d87928c0,21ce760d1788653d61ceac8f2e070c6c3df03a78aeae31e2f070ac6b0f1fce41,ChaCha20
A hazy figure was seen exiting the quiet room with a zebra-striped box.,58a9a22f62d9a5554059bfe7f7c5f50eb6fe16fb36ca35cdb4d727de1ac16bfcc813c0f59fe55afb39dfd76cda71b0d8b99bab673ae799053867892d7627747bb5477756a94a19,a7dcc9e58f5814a753512eacda7cff1c8e820877bd3e21319ac74fff21d07cd7,Salsa20
Zane quickly hid the ancient map in a vault before anyone could see.,4c5f5bc65f5fbcf543c9d2cd72b98cfeb74ede5357a583aa8c6bf6a307424a82e2aa76515bf80cce38eed6a8afc1d06061d682b39e9be62782f19673afc9c124838351b1,84ca95e2bcda7e46dd68d2e933bccf31bbeae738bf858a0cc0aa538dd1d7041c,ChaCha20
Zane quickly hid the ancient map in a vault before anyone could see.,663cc787f274bf97651b9ded4944ebe3846aec98f5e415173df27afc7850cff64d24d8c120010533e35845996ec5c5c47432a32aa34dda3a10b430896614124eec4bda18,793839e7b2fb9700f323d5d13c4fd38204589c8e6342c617a5bce056f528d0b3,Salsa20
The encrypted message was quickly deciphered by Jack and his team.,616f077d44f27048d2327b44320a88a81d59980cb022b91d8a157cfa33cc1e5ddd43ed25034358fc45f1842cab0f481a5dc7a45390e4094418c2dc5968e9a4eaab4c,9a26936d3bf5d5ef74bcc45038f5dcd5280fe6b8487ffeeaab686c0439a3b54c,ChaCha20
The encrypted message was quickly deciphered by Jack and his team.,17f1c3233d87c6d407fc06adcacda45c703c1d194628284361b4d036af284c1bc1d16e51c1fa7da555d0761047f12c0768713694b664036e4326026ec3d81c3b50f4,7918c11ea08dc574cc1caaa7039acb8297c7cb8736606531bf1697fd0b59add2,Salsa20
Xavier�s journey to find the hidden treasure began at dawn�s early light.,ea9434e166c6b0356b3d114d9214e08688f271a24bcf8c840cb4628ac05aa7de227c1e26b339521573a9e18976b6f4df0899c51d7df6846ca9d59815eba66b530f429cd10849bfa37ec5b648f9,c8c990907def43fabcd92a326c77bff9882db80cc854cfedcfdb889107fccd6d,ChaCha20
Xavier�s journey to find the hidden treasure began at dawn�s early light.,108ac48b07600204a597055bb29e21578aae9d16ca8433dda90dc46e12a9ac8a3919c3e431dba134002cb499dc4882bc0dc949a80255ff6d8fcf5159f0c9d913309b77a296dcb0931fd319d350,44ee9f6becb638c5e26dfe3aed7f8f00dd726163e240448de5242d55fa8a2340,Salsa20
A secret code was buried deep inside the quiet forest near a zebra.,23f4da971fe9464cd2bbcaf9b1f072cc5271e4d84f01ad7c36dd341551c4c09483fafae4e7ac3b8db46227d3b43060a1b274d49e0159d82184cacd4c431970c88b9c53,bfed92bbe4b3bfe2b2319e7e3020039460e3250c77b97ae1d5b2c9e493c485e2,ChaCha20
A secret code was buried deep inside the quiet forest near a zebra.,309792a759ea67209ff9bbb98ca6423170e0627238a7219aaa588c18d561b60e76d8ba1efd8bba469e365a0203c5ffe81a73900f2c2ab6c232464cbde96b6c7b7e6a40,29d57e2b4d12bf2f11fdd7f81db1d1a0a6243f42612d61bfb1c37a3a305b63ec,Salsa20
